datetime,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
2026-03-07 03:50:00,BTCUSDT,83713.44900000,5705457385.24336300,19998862.00000000,1772855400000
2026-03-07 03:55:00,BTCUSDT,83754.27600000,5703451862.94526200,19998862.00000000,1772855700000
2026-03-07 04:00:00,BTCUSDT,83808.90900000,5706841210.75254300,19998862.00000000,1772856000000
2026-03-07 04:05:00,BTCUSDT,84025.26300000,5702836612.44150000,19998862.00000000,1772856300000
2026-03-07 04:10:00,BTCUSDT,84043.23500000,5703753825.42150000,19998862.00000000,1772856600000
2026-03-07 04:15:00,BTCUSDT,84041.54300000,5708360726.21511300,19998862.00000000,1772856900000
2026-03-07 04:20:00,BTCUSDT,84039.96300000,5714297284.18500000,19998862.00000000,1772857200000
2026-03-07 04:25:00,BTCUSDT,84175.97800000,5725717364.34240000,19998862.00000000,1772857500000
2026-03-07 04:30:00,BTCUSDT,84196.51100000,5725053300.80729200,19998862.00000000,1772857800000
2026-03-07 04:35:00,BTCUSDT,84199.09400000,5722616683.43820000,19998862.00000000,1772858100000
2026-03-07 04:40:00,BTCUSDT,84201.02000000,5733407433.73800000,19998862.00000000,1772858400000
2026-03-07 04:45:00,BTCUSDT,84229.26300000,5736551877.58320000,19998862.00000000,1772858700000
2026-03-07 04:50:00,BTCUSDT,84235.51000000,5734199796.23302700,19998862.00000000,1772859000000
2026-03-07 04:55:00,BTCUSDT,84208.07700000,5730359639.85000000,19998862.00000000,1772859300000
2026-03-07 05:00:00,BTCUSDT,84229.61200000,5730425513.62605000,19998862.00000000,1772859600000
2026-03-07 05:05:00,BTCUSDT,84256.12700000,5737008042.21868500,19998862.00000000,1772859900000
2026-03-07 05:10:00,BTCUSDT,84468.29200000,5750099774.79792000,19998862.00000000,1772860200000
2026-03-07 05:15:00,BTCUSDT,84370.04800000,5735344111.26238900,19998862.00000000,1772860500000
2026-03-07 05:20:00,BTCUSDT,84369.37000000,5729785461.74700000,19998862.00000000,1772860800000
2026-03-07 05:25:00,BTCUSDT,84360.75400000,5732006608.63440500,19998862.00000000,1772861100000
2026-03-07 05:30:00,BTCUSDT,84302.27200000,5732149790.72533600,19998862.00000000,1772861400000
2026-03-07 05:35:00,BTCUSDT,84318.28200000,5727443364.53817100,19998862.00000000,1772861700000
2026-03-07 05:40:00,BTCUSDT,84299.68900000,5733769796.86850000,19998862.00000000,1772862000000
2026-03-07 05:45:00,BTCUSDT,84342.91500000,5739855868.82700000,19998862.00000000,1772862300000
2026-03-07 05:50:00,BTCUSDT,84364.35900000,5738742101.56470000,19998862.00000000,1772862600000
2026-03-07 05:55:00,BTCUSDT,84360.88200000,5738053949.39878600,19998862.00000000,1772862900000
2026-03-07 06:00:00,BTCUSDT,84389.23800000,5737632730.54380000,19998862.00000000,1772863200000
2026-03-07 06:05:00,BTCUSDT,84389.47500000,5737067674.67505400,19998862.00000000,1772863500000
2026-03-07 06:10:00,BTCUSDT,84364.05500000,5731178797.85905800,19998862.00000000,1772863800000
2026-03-07 06:15:00,BTCUSDT,84376.82600000,5731983391.30819000,19998862.00000000,1772864100000
2026-03-07 06:20:00,BTCUSDT,84363.49300000,5730224219.99912100,19998862.00000000,1772864400000
2026-03-07 06:25:00,BTCUSDT,84352.17300000,5727216406.70805300,19998862.00000000,1772864700000
2026-03-07 06:30:00,BTCUSDT,84421.91800000,5727275781.22980000,19998862.00000000,1772865000000
2026-03-07 06:35:00,BTCUSDT,84461.24800000,5728283590.81910500,19998862.00000000,1772865300000
2026-03-07 06:40:00,BTCUSDT,84478.69000000,5729529597.01028600,19998862.00000000,1772865600000
2026-03-07 06:45:00,BTCUSDT,84533.89900000,5740257687.95113000,19998862.00000000,1772865900000
2026-03-07 06:50:00,BTCUSDT,84544.59300000,5737341982.89237000,19998862.00000000,1772866200000
2026-03-07 06:55:00,BTCUSDT,84409.94700000,5712173051.39460000,19998862.00000000,1772866500000
2026-03-07 07:00:00,BTCUSDT,84531.15700000,5719834550.86780000,19998862.00000000,1772866800000
2026-03-07 07:05:00,BTCUSDT,84647.06800000,5718154919.89720000,19998862.00000000,1772867100000
2026-03-07 07:10:00,BTCUSDT,84750.21600000,5715949371.00826600,19998862.00000000,1772867400000
2026-03-07 07:15:00,BTCUSDT,84819.67400000,5734185934.82490350,19998862.00000000,1772867700000
2026-03-07 07:20:00,BTCUSDT,84851.09400000,5735068473.24120000,19998862.00000000,1772868000000
2026-03-07 07:25:00,BTCUSDT,84786.30700000,5739292460.90936300,19998862.00000000,1772868300000
2026-03-07 07:30:00,BTCUSDT,84802.40800000,5741123021.60000000,19998862.00000000,1772868600000
2026-03-07 07:35:00,BTCUSDT,84817.99300000,5743874485.96000000,19998862.00000000,1772868900000
2026-03-07 07:40:00,BTCUSDT,84849.70100000,5740828950.01880000,19998862.00000000,1772869200000
2026-03-07 07:45:00,BTCUSDT,84760.11700000,5743930372.72730000,19998862.00000000,1772869500000
2026-03-07 07:50:00,BTCUSDT,84767.86500000,5743268680.55850000,19998862.00000000,1772869800000
2026-03-07 07:55:00,BTCUSDT,84712.26500000,5742697407.93122400,19998862.00000000,1772870100000
