minute,train_accuracy,test_accuracy,train_up_rate,test_up_rate
2,0.7156162353812775,0.7102111371774293,0.49928560088903,0.5005556241511298
3,0.7794358892945971,0.7712063217681195,0.49928560088903,0.5005556241511298
4,0.849499920622321,0.8254105445116681,0.49928560088903,0.5005556241511298
5,1.0,1.0,0.49928560088903,0.5005556241511298
